video_ID,Pol1,Pol2,Pol3,Pol4,Pol5,Pol6,Pol7,Pol8,Pol9,Pol10,Pol11,Pol12,Pol13,Pol14,Pol15,Pol16,Pol17,Pol18,Pol19,Pol20,Pol21,Pol22,Pol23,Pol24,Pol25,Pol26,Pol27,Pol28,Pol29,Pol30,Pol31,Pol32,Pol33,Pol34,Pol35,Pol36,Pol37,Pol38,Pol39,Pol40,Pol41,Pol42,Pol43,Pol44,Pol45,Pol46,Pol47,Pol48,Pol49,Pol50,Pol51,Pol52,Pol53,Pol54,Pol55,Pol56,Pol57,Pol58,Pol59,Pol60,Pol61,Pol62,Pol63,Pol64,Pol65,Pol66,Pol67,Pol68,Pol69,Pol70,Pol71,Pol72,Pol73,Pol74,Pol75,Pol76,Pol77,Pol78,Pol79,Pol80,Pol81,Pol82,Pol83,Pol84,Pol85,Pol86,Pol87,Pol88,Pol89,Pol90,Pol91,Pol92,Pol93,Pol94,Pol95,Pol96,Pol97,Pol98,Pol99,Pol100
x7dGSlFHyF0,0.7,0.7,0,0.2,0,0.1,1,-0.178571429,0.8,0.245138889,0,0.55,0.0625,0.9,0.8,0.5,-0.3125,0.8,0,0.25,0,0,0,-0.012784091,0,0.2,0.8,-0.071428571,0.153246753,-0.042424242,0,0.224795918,0.1,0.7,0.2,0.6,-0.1,0.208333333,-0.25,0.17043956,0.163888889,0.4,0,-0.166666667,0.00625,0.5,-0.3125,0.6,0,0.7,-0.4,0.136363636,0.433333333,0,-0.15,0.228571429,0.5,0.233333333,0,0.8,-0.091428571,0,0,0.25,0.02952381,0.15,-0.2,0,0,0,0,0,0.161904762,0.416666667,0,0.19,-0.375,0,0,0,0.425,0,0.058928571,0.5,-0.175,0,0,-0.2,0.28,0,0.266666667,0.166666667,0,-0.7,0.2,0,0,0.5,0,
madObKblKhM,0.240816327,-0.025,0.6,0.6,0.344047619,0.675,0.7,0.194166667,0.552083333,0.65,0.297916667,0.4125,0.1875,0.23,0.2,0.725,0.3,0.26,0.175,0.5,0,-0.166666667,0,0,0.8,0,0.4,0,-0.6,0,0.3,0,0,0,0,0.6,0,0.5,0,0,0.6,0.2,0.7,0.7,0.366666667,0.666666667,0.5375,0.471428571,0.7,0.366666667,0.55,0.6025,0.8,-0.154761905,0.5,0.375,0.35,1,0.65,0.381481481,0.633333333,0.002777778,0.766666667,0.8,0,0,0,0,0.1,0,0.125,0.35,0.45,0.1,0.5,0,0.5,1,0.625,0.4,0.031746032,0,0.41,0.495238095,0.2,0.65,0.35,0.8,0.344444444,0.5,0.4,0.1,0,0.5,0.5,0.183333333,0.025714286,0.45,,
xLaPE55HqYo,0.15,0.38,0.1,0.2,0.052777778,0.4,-0.003571429,0.216849817,0.4,0.142188552,0,-0.181904762,0.18,-0.65,0.116666667,0.133333333,0,-0.05,0.066666667,-0.1,0.25,0.2,0.2,0.245454545,-0.291666667,0.2,0.7,0,0.341666667,0.7,0,0,0,0,0,0.3,0.142857143,-0.210416667,-0.004761905,0,0.086111111,0,0.533333333,0,0.6,0.341666667,-0.5,-0.15,0.375,0,0.425,0.180357143,0,0.014393939,0.395238095,0.136363636,-0.22,0.28,0.6,0.8,0.2,0,0.25,0.316666667,0.038055556,0,0,0.45,0,-0.1,-1,-0.085416667,-0.075,0.533333333,1,0.8,0.314285714,0.15,0.5,0,0,0.119047619,0.5,-0.047619048,0,0.4,0.25,0.35,0,0,0,0,0.5,0.325757576,0.164285714,0.056060606,0.266666667,0.525,0.25,
8Zw4QVvzb44,0.419480519,0,0.208333333,0.204415584,0.2,0.4,0,0.55,0,0.8,0,0.8,0.75,0.6,0.126262626,0.028571429,0.2,0,-0.082575758,0.018452381,0.5,0.277142857,-0.046666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70HkuvEeGks,0,0.087310606,0.4,0.55,0.2,0.133333333,0.400833333,0.325,0.475,0.6,0.2,0.0375,0.65,-0.583333333,0.4,0.6,-0.083333333,0.1,0.1175,0.433333333,-0.171428571,0.142857143,0.275757576,0.295238095,0,0.158333333,0.2,-0.025,0.55,0,0.25,0,-0.066666667,0.35,0,0.8,0,0.45,0.45,0,0.45,0.45,0,0,-0.181818182,0.416666667,-0.333333333,0.418055556,-0.075,0.1,0,0,0.5,0,0.8,0.8,0,0.166666667,0.8,0,0.566666667,0.233333333,0.8,0.225,0.231818182,-0.05,0.8,0.066666667,0.35,0.15,0.9,0.25,0.5,0,0.45,0.25,0.4,0.333333333,0,0,0.4,0,0,0,0.366666667,0.5,-0.05,0.8,0,0,-0.090909091,0.8,0.25,0.004166667,0.166666667,0.6,0,0,0.05,0.2
xb4-obzCQgs,-0.0125,-0.052638889,0.302777778,0.333333333,0.366666667,-0.1,0.294047619,0.8,0,-0.1625,0.575,0.040909091,0.16,0.07,0,-0.355555556,-0.049107143,0.1875,0.125238095,0.083333333,0,0.5,0.081292517,0,0,0.152840909,0.45,0.011011905,0,0.15,0,0.32,0.126190476,-0.002727273,0,0,-0.1375,0,0.32,0.068181818,0,0.08,0.18125,0.4,0,-0.025,0,0.031082251,0.062414966,0.642857143,-0.26,-0.071428571,0.316666667,0,0,0.3,0.166666667,-0.240909091,0.5,0.112121212,0,0.091341991,0.091262626,0.26989418,-0.258571429,0.4,-0.375,0.4,0,0.052777778,0.125,0.4,0,0.190625,0,0,-0.025,0.074025974,0,0.75,0.3,1,0,,,,,,,,,,,,,,,,,
Zt9jtgDeNlc,0.066666667,-0.02,0.9,0.387142857,0.5,0.252188552,0.143333333,0.160606061,0.1,0.1125,0,0.099480519,0.35,0.2,0.141666667,0.204166667,-0.06,0.261904762,0.098928571,0.4,-0.4,0.5,0.275,-0.2,0,-0.25,0.8,0.2,0,0,0.1,0.2,0.5,0.1,0,0.7,0.14,0.4,0,-0.0625,-0.166666667,0,-0.033333333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyuc8oPT80E,0.35,0.36,0,0.266666667,0.056666667,0,0.473333333,0.5,0,0.278571429,0,0,-0.095833333,0.607142857,0,-0.291666667,-0.5,0,0,0.285714286,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nVgAoA2usRY,0.42,0.303333333,0.4,0.339285714,0.033333333,-0.8,0.15,0.466666667,0.1,-0.02,0.7,0.1,0.148333333,0.316666667,0,0.309366391,0.5,0.3,-0.05,0.461666667,0.214285714,0.8,0.5,0,0,0,0.55,0,0,0,0,0.7,0,0.25,0,-0.241666667,0.2,0.007142857,0,0.3,-0.166666667,-0.5,0.333333333,0.25,0.8,-0.166666667,0,0,0.6,-0.6,0,0,0.8,0.15,0.8,0,0,0,0.308791209,0.105102041,0,0,0.6,0.2,0.4,0.3,0.6,0,0.277083333,0,0.7,0,-0.025,0.8,0.1375,-0.6,0.1,0.4375,0.133333333,0,0.25,0.233333333,0.038095238,0.233333333,0.037342582,-0.6,0.85,0.75,0.8,0,0,0.616666667,0.8,0.444444444,0.1,-0.142857143,0,,,
vEnFnSkAXq4,0.016666667,0.091975309,0.266666667,0.4,0.232467532,0.35,-0.09,0.216666667,0.044583333,0.75,0.233333333,-0.165800866,0.091666667,0.136363636,0.2,0.5,0,0,0.305555556,0,0.170833333,0,0,0,0.10625,0,0.25,0.1,0.082291667,0.136111111,0,0,0.2,0.25,0,-0.25,0,0.55,-0.195833333,0,0,0,0,0,0,-0.5,0.361111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I_7ZHDrN9rE,0.139285714,0.135335498,0.0625,1,0.3,0.7,0.35,0.65,0.180952381,0.6,0,0.525,0.2,0.285714286,0.326666667,0,0.55,0.75,0,0.136363636,0.16,0,0.214285714,0,0.083333333,0.31,0.8,0.8,-0.3,0.57,-0.25,0.342424242,0.4,0.1,0.1525,0.1,0.048660714,0.067267917,0.275,0.45,0,-0.096103896,0,0,0.254166667,0.066666667,-0.066666667,0.011174242,0,0,-0.1,0.066666667,0.25,-0.5,0,0,0.344444444,-0.09,-0.033333333,0,0,0,-0.5,0,0.5,0.16,0.433333333,-0.75,-0.013333333,-0.15,0.14375,-0.4,0.2,0,0.25,0.55,0.429166667,0.35,0.8,0.6,0.3,0.5,0.225,0.136363636,0.2,0.08989899,0.183333333,0.1,0.65,0.8,0,0.1,0.346428571,0.285714286,-0.25,0.55,0.4,0.8,0.5,
7Wcyu55IgZU,0.225,0.58,0.225,0.7,0.2,0.152083333,0.371428571,0.7,0.40982684,0.35,0.288541667,0.164285714,0.25,0.175,-0.25,-0.095833333,0.8,0.65,0.1125,0,0.225,0,0.9,0.016666667,0.184073323,0.141666667,0.130952381,0,0.7,0,0.8,0.4,0.8,0.85,0.5625,0.2,0,0.65,0.265454545,0.192857143,0.9,0.07,0.1,0.75,0.136363636,0.8,0.7,1,0.4,0,0.8,1,0.05,-0.066666667,0,-0.125,0.285714286,0,-0.4,0.75,0.258333333,0.8,0,0,0,0.75,0.25,0.5,0.55,0.136363636,0.8,0.7,0.611111111,0.6,0.004111652,0.25,0.327272727,0.5,0.65,0,1,0,0.2,0,1,0,0.125,0,0,0,0,-0.083333333,0.043181818,0,0.5,0.6,0.026515152,0.154166667,0,
M8XaarsoojA,0.09375,0.178125,0.277777778,0.161666667,0.503703704,0.025799663,0.3,0.45,0.5,0.333333333,0.00952381,-0.017857143,0.378787879,0.45,0.244444444,0.158333333,0.167942177,-0.085,0.25,0.18,-0.5,0,0.25,0.3,-0.3,-0.03125,0,0.16,1,0.051041667,0.35,0,0.6,0.34,0.425,0,0.075,-0.006919643,0,0.8,0.392857143,0,-0.071428571,0,0.133333333,0.329004329,0.3125,0.5,0.4,0.25,0,1,0,0.433333333,0.18,0,0,0,0.032467532,0.136363636,0,0.8,0.013997114,-0.8,0.185,0,0.4,-0.181818182,1,0.143787879,0.085541126,0.092929293,-0.111111111,0.2,0.15,0.8,0.156796537,-0.1,0.083333333,0.3,0.2,-0.275,0.266666667,-0.107012987,0.074747475,0.333333333,-0.025,0.5,0.357142857,0.2,0.11521164,0,0,-0.095833333,0.066666667,0.223,0,0.266666667,0,0.156565657
vFpMvDTBOgA,0.35,0.5,0.409090909,0.233333333,0.0425,0.4875,0,0.348666667,0.5,0.5,0,0.212878788,0.27989418,0.125,0.52,0.5,0,0.163636364,0.061285714,0.2,0,0.083333333,0,0.55,0.3,0,0.05,0.2,0.35,0.208333333,0.8,0,-0.1,0,0.157575758,0.2,0.1,0.8,0.136363636,0,0.1,0.132857143,0.092600108,0.333838384,0.433333333,0,0,0.118181818,0,-0.7,0.156666667,0.25,-0.5,-0.25,0.25,0.111111111,0.5,0.525,0.136363636,0.1,0,0.45,0.285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g6zZGjvnE0g,0,0.433333333,0.25,1,0,0.8,0.45,0.7,0.293939394,0,0,0.5,0.221590909,0.083333333,0.2,0,0.048939394,0.214583333,0.214285714,0,0.2,0,0,0,0,0.5,-0.083333333,0,0,0,0,0.25,-0.7,0.054545455,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVzZahui9rw,0.7,0.227643785,0.2,0.6,0.3875,0,0.8,0.2,0.1,0.5,0,0,0.075,0,0.136363636,-0.075,0.442857143,0.132142857,0,-0.0125,0.475,0.114930556,0,0,0.246428571,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHX_NlVALO0,0.125,0,0,0.398484848,0.268181818,0,0.29375,0.316666667,0.214285714,0.15125,-0.05,0.45,0.295833333,0.3,0.166666667,0.8,0.75,0.266666667,0.2,0.375,0.455,-0.35,0,0,0.25,0.159090909,0,0.212121212,-0.033333333,-0.3125,0.058333333,-0.361111111,0,0.225,0.207142857,-0.05,0.285606061,0.014583333,0.3,0,0.411666667,0.375,0.258333333,-0.0225,0.16,1,0.371666667,0.269444444,0.479166667,-0.083333333,0,0,0,0,0.139772727,-0.025,-0.007592593,-0.275,0.128787879,0,0.45,0.03,-0.125,0,0.4,0,-0.7,0.398295455,0.416666667,-0.8,0.075,0.285714286,0.045454545,0.125,0,0.341666667,0.061904762,-0.166666667,-0.172321429,0.295833333,0.25,0,0.347142857,0.85,0.2375,-0.056818182,0.015909091,0,0,0,0,-0.245535714,0,0,0.6,0.583333333,0.4,0.5,0.16,0.08
tUTWIvOWxAA,-0.5,0.02952381,0.25,0.1,-0.05,0.8,0.7,0.5,0,0.033333333,0.132380952,0.125,0.366666667,0.65,0.222222222,0.4,-0.145833333,0.053703704,0.6,0.175,0.16,0.003333333,0,0,-0.113333333,0.016666667,0.004615385,0.5,0,0,0.058055556,0.7,0,-0.100661376,0.45,0.91,0.5,0,0,0,0.1,0.2,-0.090909091,0.208928571,-0.333333333,0.183333333,0,0.7,0,0,0.225,0.152380952,0,0,0.5,0,-0.071428571,0.25,0,-0.145833333,-0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X5Rcd2d3R-s,0.425,0.2,0.053939394,0.5,0.153838384,0.85,0.119480519,0.2,0.252708333,0.408928571,-0.035714286,0.367171717,-0.291666667,0.35,0.2,0.7,0.266666667,0.242857143,0.75,0.282142857,0.6,0.3,-0.4,0,0,-0.2,0.5,0.3,-0.142857143,0.3,0.5,0,0.275,0.8,0.65,0.1,0.6,0,0.15,0.108333333,0.8,0.8,0.2,0.45,0.7,-0.25,0.533333333,0.5,0.088927893,0.17,0,0.8,0,0.35,0.5,0,0,0.111795635,-0.25,0.1,0,-0.2,0,0,0,0,0.118181818,0,0.010606061,0,0.1,0,0.25,0,0.7,0.8,0.1,0,0.7,0.15625,0,1,0.45,0.218181818,0.5,0,0,-0.25,0.1625,0,0.375,0.0375,0.048214286,0,0.1,0.192857143,0.061666667,0.35,0.5,0
toip52QcAiU,0.2875,0.34,0.1,0.25,0.01,0.275,-0.194444444,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0.29484127,0.4,0,0.4375,0.45,0.136363636,0.4,0,0.8,0.125,0,0,0,0,0,0,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rLptf4TtQdo,0,0.33030303,0.018759019,0,0,0,0,0.158680556,0,0.566666667,0,-0.05,0,-0.245833333,0.5,0,0.8,0,0,0.125,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-oSOUMojiPU,0.132727273,-0.083333333,0.65,0.475,0,0,0.85,0.21957672,0.266666667,0.333333333,0.7,0.333333333,0.8,0.15,0,0,0.3,0,-0.395833333,0,-0.3,0,0.303333333,0,0,0,0.15,0.45,0.45,0.8,0,0.1,0,0.2,0,0.133333333,0.2,1,0.333333333,0.372222222,0.8,0,0.2,0,0.5,-0.1725,0,0.1,0,0.8,0,0.2,0.7,0,0.1,0.45,0.1,0.7,0,0.466666667,0.2,0.466666667,0.17,0.7,-0.1875,0.1875,0.1,0.65,0,0.338868275,0,0.4,0.4,-0.5,0.2,0.35,0.08,0.2,0.2,0.156565657,0.433333333,-0.05,0.062272727,0,0.104924242,0.558333333,0.5,0,0.7,0.1,0,0,-0.053125,0.03,0.05,0,0.291071429,0,0.2,-0.019583333
uSSrlJQRaXg,0.147222222,0.133333333,0.5875,0.36,0.7,0.5,0.366666667,0.4,0.4,0.8,0.55,0,0.9,0,0,0.05,0,0.4,0.7,0.097619048,0.133333333,0.2,-0.019318182,0,0.8,0.3,0.5,0,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04b6qzTS0eg,0.267272727,-0.07,0,0.7,0.5,0.8,0.8,0.4,0.1,0,0.6,0.75,0.8,0.8,0.068181818,0.75,0.325,0.125,0.5,0,-0.02,-0.015625,0,0.525,0.8,0,0.069444444,0,0,0,0,0.25,0,0.5,0,0.378030303,0.266666667,0.214285714,0.2,0.2,0.065,0.411111111,0.157638889,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5mOFqncqyE,0.446590909,0.333333333,0.055555556,0.65,0.55,0,0.254004329,0.266071429,0.140909091,0.3125,0.096759259,-0.15,0.3,0.052424242,0.225,0.6,0.1,0.2875,0.376785714,0.126785714,0,0,0,0,0.025,0.253571429,0.05625,-0.071428571,0.5,0.7,0.25,-0.076923077,0,0.332142857,0.208333333,0.8,0.3,0.032142857,-0.2,0.25,0.120454545,0,0.516666667,0.05,0.244444444,0.206349206,0.2,0.2,0.8,0.2,0,0,0,0,0.055555556,0,0.7,0,-0.022857143,0.1,0.183333333,0.316666667,0.8,0,0.9,0.544444444,0.5,0.8,0.053714827,0.8,0,-0.033333333,0.525,0,0,0.6,0.329857143,0.8,-0.105555556,0.029761905,0.026666667,0,0.183333333,-0.1,0,0.104820937,0.115555556,0.2625,-0.1,0.7,0,0.8,0,0.6,0.7,0,1,0,0.292142857,0
osG-h0mgScU,0.147731755,0.177083333,0.075,0,0.066666667,0.2,-0.1625,0,0,0.2,0.466666667,0.8,0.275,0.35,0.2,0.05,0.166666667,0.266666667,0.361904762,0,0.5,0.5,0,0,0.111111111,0,0.5,0,0.5,0,0,0,0.2,0,0.8,0.008653846,0.345238095,0.167272727,0,0,0,0,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xp4FT9dU9mo,0.133333333,0.322727273,0.7,0.122222222,0.4,0.375,0.2,0,0,0,-0.5,0.03,1,0,0.15625,0.5,0.375,0.266666667,0.138888889,0,0.125,0,0.242857143,-0.291666667,0,0.285714286,0.5,0.1,0,0.7,0.6,0.18,0.475,-0.266666667,-0.041666667,0.418181818,0,0,0.6,0,0.6,-0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4KgGHtCp3g,0.230416667,0.3,0.55,0.078179113,0.1,0.2,0.8,0.533333333,0.285714286,0.348412698,0.4,-0.4,0.25,0.8,-0.3,0.7,0.6,0.2,0.348809524,0.25,0.266666667,0.2625,0.2,0.5,0,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i1INRmhdUO0,0.51,0.6,1,0.533333333,0.291774892,0.35,-0.05,0.1375,0.65,0.375,0.091666667,0.1875,0.375,0.45,0.2,0.322222222,0.7,0.266666667,0.65,0,0.45,0,0.3,0,0.8,0.8,0.333333333,-0.145833333,0.6,0.2,0.5,0,-0.072916667,0.7,0.6,0.15,0.666666667,0.5,1,0.2125,0.25,0.2,0,0.5,1,0.25,-0.1,0.725,0,0,0.214285714,0,0,0,0.3,0.3,0.8,0,0,-0.109469697,0,0,0.2,-0.3125,0.25,0.05,-0.165277778,0.8,0.188888889,0,0,0,0,0.20625,0.166964286,0.178571429,0.5,0.266666667,-0.13125,0,0,0,0,0,-0.1,0,0,0.7,0,0.2,0.189583333,0.029506803,0,0.312454212,0.7,-0.266666667,0,,,
QVBgzV1e0rE,0.1,0.142857143,0,0.481292517,0.1,-0.05625,0.2,0.433333333,0.5,0.23968254,0.117592593,0.8,0.8,0.8,0.4,0.5,0.11,0.341666667,0.6,0.65,0.5,0.05,0.427777778,0.5,-0.3125,-0.09375,0,0,0.607142857,0,0.07,0.08,0,0.0625,0.2,0.09375,-0.04375,0.105,0,0,0.133333333,0,0.4,0.7,0.1,0,-0.056060606,0,0,0.285714286,0,0,0,0.7,0,0.35,0.333333333,0,0.2,0.234090909,0.223,0,0.8,0.3,0,0.5,0.8,0.082121212,0,0.194444444,0,0,0,0,0.2,0,-0.2,0.7,0.212202381,0.214285714,0,-0.291666667,0.15,-0.01714876,0.286082251,0,0.4,0,0,0.35,0.35,0.176628788,0.4,0,0,0.1625,0.05,-0.204761905,0.466666667,0.069805195
8eilFVinLPE,0.155800866,0.092857143,0.166666667,-0.00462963,0.201428571,0.16,-0.053409091,0.1375,0.05,-0.119375,0.533333333,0.167272727,0,0,0.8,0.35,-0.016666667,-0.154545455,-0.25,0,-0.3,0,0,-0.2,-0.05,0.266666667,-0.25,-0.1,-0.16,0,0,0.285714286,0,0.2,0.7,0,0,0,0,0.242857143,0,0.16,0.16,0.16,0.2,0.133207071,0.041666667,0.7,0.087662338,0.597857143,0.041071429,0,0,-0.1125,0.2,0.392857143,0,0.5,0.05,0.1,0.341666667,0.166666667,0,0.045111111,-0.025,0.193181818,0.120238095,-0.03125,0,0.0129329,0.375,0.15,0,0.233333333,0,-0.1,0.5,-0.044191919,0.010846561,0.060269841,0.106938776,0.141612554,0,0,0.35,0,-0.2,0.416928571,0.8,0.03125,0,0,0.116022727,0,0,0,0.166666667,0,0,
