,cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
72,UgxVgWbq6CqZbM75N4l4AaABAg.9xQoYkYSOtl9xaOTPJ5gZ0,damn that s kind impressive do regret how much cash flow 3 property thank advance,1 month ago,@oshitomaha,UCb-A955HDqBUbQlUEQfn-dA,0,https://yt3.ggpht.com/ytc/AIf8zZTrOisGuazzDI1NdFKY1i3-YSN4W9fgZ_0rXQ=s176-c-k-c0x00ffffff-no-rj,False,True,1702779232.841362
73,UgxE8miW7m30RKEaCch4AaABAg.9xQr2RDvZv69xQtVnTM3TU,feel free connect I guess I can not share specific contact information thread,1 month ago,@RentToRetirement,UC_h1lnz1kM75Gj79VV8QtEg,0,https://yt3.ggpht.com/4r48relcULJPr61jgu7Vckc04c5UZ2eIMQ4737C1HVXPVWtU0zAkXluKyySCY9tZ7q_QDtZAc-M=s176-c-k-c0x00ffffff-no-rj,False,True,1702779233.070596
74,UgxE8miW7m30RKEaCch4AaABAg.9xQr2RDvZv69xSxMMReUeX,RentToRetirement how I communicate outside thread 3 loan,1 month ago,@jesuscanales5606,UChI6BOWLTdu8QlAFkRhCT6w,0,https://yt3.ggpht.com/ytc/AIf8zZRTXD0NTPym3CaPYJmez4G-nS3isJMJgvTozpQY7A=s176-c-k-c0x00ffffff-no-rj,False,True,1702779233.073514
75,UgwZs87mNUA5KkFLtyd4AaABAg,this main issue right 1099 will worth get w2 job get real estate journey,1 month ago,@strongmindtransportllc,UC5loxiJvXRgMrxLLptMKjBA,1,https://yt3.ggpht.com/7BwsWsxyAOODSU35Kxr-AvmvKdDpNDwrPh_XsgSIQPw5AhdTsE7cmBZb55rjssTNeS1ttmpV=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.379545
76,UgwPpaI_jI5hNBtBBmx4AaABAg,ok find andor apply financing option do I miss something,1 month ago,@nirradical,UCp4_E7UnCG4pFWwaqLDEj8g,1,https://yt3.ggpht.com/ytc/AIf8zZQddn-48nSu3gofckzTrnJifK-46hQx_iz21wKO=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.381534
77,Ugx6Zq_bOeAzEypw21J4AaABAg,good episode ever,1 month ago,@repeastside88,UC7YFv-DS3m_eZcn8hCQdyKQ,2,https://yt3.ggpht.com/ytc/AIf8zZQ79j1etTzwXx3Bg4-8KQg1EwICfUMGW2l8xw=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.382542
78,UgyhbiDmUB8mHR02YX94AaABAg,my mortgage company start program allow refinance current rate my rate 25,1 month ago,@user-ih6vg4rr9r,UClsIkpW0HBCujMPLvSqKB9w,1,https://yt3.ggpht.com/ytc/AIf8zZTH2183rFcp5gR5hMyNqHcFPh8ge386fWN8Tl7hFGxh_fGkZ1Vif1zM-3D0N48E=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.383516
79,Ugy0u-0DAOJTXUJ2Knl4AaABAg,raise rate right thing it absolutely reduce inflation good information,1 month ago,@peaslead,UCVR_FgPIjqBg9FN6oNt7FQA,0,https://yt3.ggpht.com/ytc/AIf8zZQrgG6surP9lwLDiKmFx4K-7UlLA8gtHhNVxLTS7Hg=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.384518
80,Ugz4kCZohJNXkFZRmhB4AaABAg,of course anyone actually read loan document detail aware come rental property mortgage commercial property loan make payment stop lender take property away real fast People think property may large equity make payment time you do not anything friend,1 month ago,@RP-le1fp,UCbpu4bf_LFGJ2XwJ9ZMeovg,0,https://yt3.ggpht.com/ytc/AIf8zZSlHASL3_z-XFHZnP4iA0nZ8Sgo9gCAVYlbMg=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.385513
81,UgxmyJMHT5Un9uclHAd4AaABAg,good info I stick w cash limit growth eliminate many issue if I need cash I sell something like monopoly you buy good street value not cheap st high st one two middle street then keep add green house w cash afford cash hotel sit back retire,1 month ago,@user-fy4lv6mf5n,UC7mjkcQEIm4lLhSwAghtCoA,0,https://yt3.ggpht.com/ytc/AIf8zZQKHBuwUBumBD9mF_2zdOJIJ_0fOsSnY4dHa6ntXM81W5PQ9mzejqh8gIkin1h8=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.386506
82,UgwbV54raboVDR2TsLF4AaABAg,I hate lender use LTV really mean loan purchase price its loan value Value might much high,1 month ago,@tylerguitar75,UCxliixpJMovgjICn4hKdt4Q,0,https://yt3.ggpht.com/ytc/AIf8zZTu8d4UOq7UHdKiZXgTBeiow3j21RIK062l9iCorMUW-Mur9gVa7a38fU5_7ZLW=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.387436
83,UgzdWqOxUhCF4FeDYRl4AaABAg,love rent retirement,1 month ago,@user-my1xc4dx4s,UCkGb37ha-lqU8BRvFyB9RMQ,3,https://yt3.ggpht.com/ytc/AIf8zZQPBKucF1Pv5h6XaPlEjiQ2VYe9h7BopaOvBK8egXUYMrU9z-7IArplNAZfRTlR=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.388507
84,UgywW6UZWsiVZYmc-yp4AaABAg,link point talk loan scrubstuff 4117 wonder magic 5 3 interest rate loan 2023 btw mislead title seperate thing seperate loan credit union offer 5 5 property 3 rate somehow convince someone seller finance will not split btw ask 3 irrelevant 3rd option one builder one backwood town offer paymnet rate,1 month ago (edited),@IDeserveBeady,UCphPzq3Aqz4rdRAeT-p_mVQ,1,https://yt3.ggpht.com/ytc/AIf8zZQXafrR2n-HGskPrO5jLs8uP81ExH3yctuP53KJ=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.389498
85,UgzSIkxQQZHYpYSiMep4AaABAg,great video,1 month ago,@katiecruz97,UCSUdJiYtd17MdtNBsZcFInA,0,https://yt3.ggpht.com/tTqQYiBZHRy5oCMx1cXAR0tXGM7tbslHENnp1mOEldyYbDBM660woycBPqrt4ow1WZGlLd7NTg=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.390428
86,UgwtHPbIVEOfWWgpN1h4AaABAg,there much need unpacked,1 month ago,@playlist759,UCSDTqFpvc6ikNLZBJel9XqA,1,https://yt3.ggpht.com/ytc/AIf8zZTLRALK0CEybl2N9GnZutbkaSxI3TDkfF7LRQ=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.39149
