ID,Pol1,Pol2,Pol3,Pol4,Pol5,Pol6,Pol7,Pol8,Pol9,Pol10,Pol11,Pol12,Pol13,Pol14,Pol15,Pol16,Pol17,Pol18,Pol19,Pol20,Pol21,Pol22,Pol23,Pol24,Pol25,Pol26,Pol27,Pol28,Pol29,Pol30,Pol31,Pol32,Pol33,Pol34,Pol35,Pol36,Pol37,Pol38,Pol39,Pol40,Pol41,Pol42,Pol43,Pol44,Pol45,Pol46,Pol47,Pol48,Pol49,Pol50,Pol51,Pol52,Pol53,Pol54,Pol55,Pol56,Pol57,Pol58,Pol59,Pol60,Pol61,Pol62,Pol63,Pol64,Pol65,Pol66,Pol67,Pol68,Pol69,Pol70,Pol71,Pol72,Pol73,Pol74,Pol75,Pol76,Pol77,Pol78,Pol79,Pol80,Pol81,Pol82,Pol83,Pol84,Pol85,Pol86,Pol87,Pol88,Pol89,Pol90,Pol91,Pol92,Pol93,Pol94,Pol95,Pol96,Pol97,Pol98,Pol99,Pol100
JujnC2CCtj4,0.5,0.139880952,0.179545455,0.433333333,0.4,0.066666667,0.816666667,0.190625,0.2125,0.7,-0.23,0.3,0.16,0,0.512121212,0.3,0.5,0.6,0,0.316666667,0,0.55,0,0.118181818,-0.333333333,0.033333333,0.5,0,0.516666667,0.260833333,0,-0.2,0.333333333,0.235459184,0.409722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UxQDD60jABU,0,0,0.3,0.33,0.3,0.35,-0.5,-0.025568182,0,0.5,-0.3,0.15,0.033333333,-0.05,0,0.35,0.35,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V1lFFZbm_XE,0,-0.014705882,0,0.27724359,0.040178571,0.233333333,0,0.222705628,0.23414966,0.15,0,-0.5,0.08,0,0.8,-0.25,0.242857143,0,0.5,0.2,0.417261905,0.5,0.25,0,0,0.098787879,0,0,0.083333333,-0.4,0.3,0.266666667,-0.575,-0.089393939,0,-0.071428571,0.5,0.140984848,0,0.08,0.05,0,0,-0.291666667,0,0,0,0.028531746,-0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rPzqevbZhZg,0,0.666666667,0.4,-0.048611111,-0.194444444,0.269404762,0.144444444,0,0.266666667,1,0.166666667,-0.4,0.8,0,0.211904762,0,0,0.05,0,0,0,-0.103174603,0.308333333,0.02552381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9pUb4LsBCUQ,0,0.4,0,0.533333333,0.43,-0.001666667,0.5,0.173333333,0.433333333,0.25,0.492857143,0,-0.125,0.4,0.8,0.320519481,-0.056666667,0,0,0.8,0,0.225,0.655555556,0.323333333,0.4,0.212857143,0,0,0.145833333,0,0,0.333333333,0.4,0.142857143,0.245555556,0.238888889,0.15,0.29534632,-0.025,0,0.7,-0.009285714,0,0,-0.066666667,-0.25,0.025,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qJ1LnjQiKOU,0.2,0.065674603,0.466666667,0.5,-0.0825,0,-0.0625,0.034090909,0.144444444,0.4,0.017222222,0.028571429,0,-0.35,0.214285714,0,0,0,0.061111111,-0.7,0,-0.1,0,0.2,0,-0.325,-0.8,0,0,0,0.375,0,0.125,0.1,0.1,-0.25,0.174116162,-0.6,0,-0.185,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zfVS9GgYLRM,0.081666667,0.402777778,0.225,-0.35,-0.099404762,-0.375,0.7,0.402777778,0,0.333333333,0,0.513636364,0.194320728,0.7,0.214285714,-0.3125,0.136363636,0.5,0.4,-0.4,0.408333333,0.164935065,0,0,0,0.6,0.095833333,-0.15,0,0.0625,0,0.65,0,0.033333333,0,0,-0.0125,-0.132222222,0.4,0.010833333,0,0.333333333,0.3,0.04496415,0,0,-0.216666667,0.4,-0.051041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LD7FMYoDgx0,0,0.121428571,0.43,0.166666667,0,0.833333333,0.25,0.7,0.8,0.214285714,0.132142857,0.123958333,0.294444444,0.136363636,0,0.08,0,-0.4,0.2875,0.291666667,0.283333333,0.7,0,0,0.4,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7LrYvKDKbHI,0.3,0.5,0.292424242,0.1,0,0.16,0.65,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cvu5l3zlUW8,0.65,0.65,0.35,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nwYS_IQ6w3U,0.19,0.285714286,0.5,0.4,0.268181818,0.166666667,0,0.8,0.8,0.55,0.35,0,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1bel7eF7EII,-0.35,0.457142857,0.197272727,0.166666667,0.140171958,0.55,0.377777778,0,0,0,0.1,0.068181818,0.484126984,0.2,0.370833333,0,0,0.35,0,0.118055556,-0.05,-0.166666667,0.270833333,0.116666667,0.177083333,-1,0.7,0,0,0.5,-0.385714286,-0.3125,-0.044666667,-0.7,-0.3125,0.073129252,0.107,-0.119791667,0.25,0.064444444,0.012407407,0.213095238,-0.079166667,0.264,0.136363636,0,-0.5,0.002222222,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gd_OxqUSBDk,0,-0.016666667,0.444444444,0,-0.8,-0.166666667,0,0.178787879,0,0.5,-0.030555556,0.8,-0.071428571,0,0,0.6,0,0.5,0,0.15,0.55,0.55,0.2,0,0,0,0,0.166666667,0,0,0,0.5,0,0,0,0,0.3,0,0.8,0,0,0.4,0,0,0,0.8,0.136363636,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BuiEbJyvBXI,0.167099567,-0.041666667,0.45,0.378787879,0.183813131,0.492857143,0.323232323,0.525,0,-0.025,0.101010101,0.066666667,-0.15,0.8,-0.065909091,-0.048,-0.025,0.163333333,0.3,0.278787879,0,0.166666667,1,0.153257576,0.172505981,0.7,0.151948052,-0.035584416,0.1,0.7,-0.05,-0.035714286,0.1,-0.1,0,0,0,0.1859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
